Year	Month	Land Δ(T) (C)	Ocean Δ(T) (C)	Ocean-Land Δ(T) (C)
1880	1	-0.750855	-0.26955	-0.381889
1880	2	-1.215493	-0.286615	-0.488308
1880	3	-1.313627	-0.210014	-0.456202
1880	4	-0.906708	-0.21754	-0.387541
1880	5	-0.647808	NaN	-0.423262
1880	6	-0.540352	-0.426008	-0.450535
1880	7	-0.581144	-0.391768	-0.432511
1880	8	-0.551437	-0.315417	-0.368139
1880	9	-0.735647	-0.296275	NaN
1880	10	-0.954795	-0.384309	-0.505425
1880	11	-1.20162	-0.334612	-0.522081
1880	12	NaN	-0.274358	-0.442003
1881	1	-1.035336	-0.232162	-0.408123
1881	2	-1.001979	-0.241878	-0.40492
1881	3	-0.766903	-0.182379	-0.310294
1881	4	-0.621256	-0.175446	-0.271703
1881	5	-0.480096	-0.244916	-0.302101
1881	6	-0.906349	-0.290397	-0.44238
1881	7	-0.62585	-0.294874	-0.373665
1881	8	-0.41661	-0.342943	-0.360321
1881	9	-0.720469	-0.371637	-0.452196
1881	10	-1.101939	-0.413805	-0.567977
1881	11	-1.247381	-0.344586	-0.546388
1881	12	-0.722831	-0.273812	-0.370326
1882	1	-0.412406	-0.186005	-0.234271
1882	2	-0.762217	-0.201393	-0.329318
1882	3	-0.786383	-0.253612	-0.371966
1882	4	-1.259143	-0.27511	-0.488527
1882	5	-0.98975	-0.320419	-0.469597
1882	6	-0.876647	-0.33764	-0.459432
1882	7	-0.790185	-0.326094	-0.426725
1882	8	-0.374482	-0.383678	-0.381567
1882	9	-0.577852	-0.329442	-0.38913
1882	10	-1.097181	-0.334594	-0.505105
1882	11	NaN	-0.302651	-0.430936
1882	12	-1.200734	-0.281223	-0.495416
1883	1	-1.700323	-0.281395	-0.598214
1883	2	-1.968181	-0.312235	-0.69908
1883	3	-1.230095	-0.335537	-0.541713
1883	4	-1.196812	-0.330943	-0.536987
1883	5	-0.96553	-0.35099	-0.490018
1883	6	-0.359904	-0.309615	-0.321267
1883	7	-0.628087	-0.347749	-0.408688
1883	8	-0.650442	-0.346794	-0.413636
1883	9	-0.776755	-0.374849	-0.463375
1883	10	-0.940919	-0.372629	-0.49544
1883	11	-1.137094	-0.352879	-0.526898
1883	12	-0.939948	-0.348462	-0.477514
1884	1	-1.024435	-0.412147	-0.55643
1884	2	-1.367488	-0.285858	-0.530664
1884	3	-1.502771	-0.395081	-0.647199
1884	4	-1.284751	-0.420137	-0.614981
1884	5	-1.002546	-0.426514	-0.551296
1884	6	-0.833255	-0.505065	-0.578295
1884	7	-0.995823	-0.515904	-0.623947
1884	8	-0.905393	-0.497178	-0.586226
1884	9	-1.034528	-0.444212	-0.576368
1884	10	-0.913656	-0.443828	-0.548571
1884	11	-1.169583	NaN	-0.631212
1884	12	-1.013121	-0.444496	-0.571903
1885	1	-1.888358	-0.45064	-0.771458
1885	2	-1.322272	-0.452817	-0.643175
1885	3	-1.081477	-0.486385	-0.614525
1885	4	-1.12757	-0.482282	-0.622993
1885	5	-1.008042	-0.525024	-0.630558
1885	6	-0.945626	-0.542287	-0.632861
1885	7	-0.789426	-0.49843	-0.563483
1885	8	-0.882116	-0.509322	-0.589982
1885	9	-0.771741	-0.493928	-0.555347
1885	10	-0.709307	-0.406162	-0.472155
1885	11	-0.538874	-0.392685	-0.425165
1885	12	-0.254259	-0.347012	-0.327549
1886	1	-0.969587	-0.363358	-0.501727
1886	2	-1.534464	-0.423613	-0.66726
1886	3	-1.3281	-0.453357	-0.649616
1886	4	-0.853823	-0.42168	-0.52228
1886	5	-0.851956	-0.414259	-0.514425
1886	6	-0.832189	-0.494482	-0.570808
1886	7	-0.492083	-0.512818	-0.507911
1886	8	-0.661739	-0.545491	-0.572128
1886	9	-0.663886	-0.534263	-0.564252
1886	10	-1.019323	-0.468778	-0.590807
1886	11	-0.98707	-0.435391	-0.565043
1886	12	-0.389535	-0.540876	-0.506618
1887	1	-1.570969	-0.634279	-0.841556
1887	2	-1.416519	-0.619104	-0.808874
1887	3	-0.841197	-0.50264	-0.57867
1887	4	-0.922814	-0.496224	-0.593633
1887	5	-0.605852	-0.577233	-0.584226
1887	6	-0.819968	-0.494294	-0.568767
1887	7	-0.62011	-0.524746	-0.546807
1887	8	-0.835129	-0.552848	-0.620847
1887	9	-0.497183	-0.521454	-0.515766
1887	10	-0.916651	-0.500486	-0.598737
